"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","hdla_material","hdla_pattern"
"014C1","Decord_LA_AS","simple","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Show Pieces","Yes",600,"Beautifully designed light brown elephant show pieces carved by the skilled craftsmen of Kashmir. It is made from pure wood and has a polished finish giving it a rich look.",,,,,,,,,"Wooden Elephant Show Piece",600,"Kashmir",,"Hand-carved, self designed light brown wooden elephant showpiece with a polished finish",,,,,,1,7,,,1,200,100,1,,,,,,,,,,,,,"Yes",10,600,,1,"Yes","Yes",,,"Yes",200,"Rose Pvt Ltd","Khalid Wani",,10,100,600,"Red",,"wood","self design"
"014C2","Decord_LA_AS","simple","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Show Pieces","Yes",600,"Beautifully designed navy blue elephant show pieces carved by the skilled craftsmen of Kashmir. It is made from pure wood and has a polished finish giving it a rich look.",,,,,,,,,"Wooden Elephant Show Piece",600,"Kashmir",,"Hand-carved, self designed navy blue wooden elephant showpiece with a polished finish",,,,,,1,7,,,1,200,100,1,,,,,,,,,,,,,"Yes",10,600,,1,"Yes","Yes",,,"Yes",200,"Rose Pvt Ltd","Khalid Wani",,10,100,600,"Blue",,"wood","self design"
"001S","Decord_LA_AS","simple","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Statues","Yes",1200,"A marble statue of Lord Ganesha. It is carved artistically by the skilled craftsmen of Kashmir.",,,,,,,,,"Lord Ganesha Marble Statue",1200,"Kashmir",,"Marble statue of Lord ?Ganesha self-designed and hand carved by Kashmir's craftsmen",,,,,,1,7,,,4,900,100,1,,,,,,,,,,,,,"Yes",10,1200,,1,"Yes","Yes",,,"Yes",900,"Rose Pvt Ltd","Khalid Wani",,10,100,1200,"Red",,"marble","self design"
"014C","Decord_LA_AS","configurable","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Show Pieces","Yes",600,"Beautifully designed elephant show pieces carved by the skilled craftsmen of Kashmir. It is made from pure wood and has a polished finish giving it a rich look.",,1,,,,,,,"Wooden Elephant Show Piece",600,"Kashmir",1,"Hand-carved, self designed wooden elephant showpiece with a polished finish",,,,,,1,7,,,4,200,100,1,,,,,,,,,,"014C1,014C2","color",,"Yes",10,600,,1,"Yes","Yes",,,"Yes",200,"Rose Pvt Ltd","Khalid Wani",,10,100,600,,,"wood","self design"
"015C1","Decord_LA_AS","simple","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Holders;; Home Decor/Decor/Layarounds/Holders/Magazines","Yes",400,"A simple yet attractive magazine holder. It is made from metal. Its plain design makes its bright black colour stand out.",,,,,,,,,"Magazine Holder",400,"Maharashtra",,"Simple yet attractive black metal magazine holder",,,,,,1,7,,,1,200,100,1,,,,,,,,,,,,,"Yes",10,400,,1,"Yes","Yes",,,"Yes",200,"Nirali Pvt Ltd","Nirali",,10,100,400,"Red",,"metal","plain"
"015C2","Decord_LA_AS","simple","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Holders;; Home Decor/Decor/Layarounds/Holders/Magazines","Yes",400,"A simple yet attractive magazine holder. It is made from metal. Its plain design makes its bright purple colour stand out.",,,,,,,,,"Magazine Holder",400,"Maharashtra",,"Simple yet attractive purple metal magazine holder",,,,,,1,7,,,1,200,100,1,,,,,,,,,,,,,"Yes",10,400,,1,"Yes","Yes",,,"Yes",200,"Nirali Pvt Ltd","Nirali",,10,100,400,"Blue",,"metal","plain"
"015C","Decord_LA_AS","configurable","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Holders;; Home Decor/Decor/Layarounds/Holders/Magazines","Yes",400,"A simple yet attractive magazine holder. It is made from metal. Its plain design makes its bright colour stand out.",,1,,,,,,,"Magazine Holder",400,"Maharashtra",1,"Simple yet attractive metal magazine holder",,,,,,1,7,,,4,200,100,1,,,,,,,,,,"015C1,015C2","color",,"Yes",10,400,,1,"Yes","Yes",,,"Yes",200,"Nirali Pvt Ltd","Nirali",,10,100,400,,,"metal","plain"
"016C1","Decord_LA_AS","simple","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Holders;; Home Decor/Decor/Layarounds/Holders/Candles","Yes",800,"A silver self designed candle holder. Its design resembles ancient Indian work giving it a rich royal look.",,,,,,,,,"Candle Holder",800,"Delhi",,"A silver candle holder with self designed carvings giving it a royal look",,,,,,1,7,,,1,700,100,1,,,,,,,,,,,,,"Yes",10,800,,1,"Yes","Yes",,,"Yes",700,"Sazzy Pvt Ltd","Sazzy",,10,100,800,"Blue",,"metal","self design"
"016C2","Decord_LA_AS","simple","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Holders;; Home Decor/Decor/Layarounds/Holders/Candles","Yes",800,"A golden self designed candle holder. Its design resembles ancient Indian work giving it a rich royal look.",,,,,,,,,"Candle Holder",800,"Delhi",,"A golden candle holder with self designed carvings giving it a royal look",,,,,,1,7,,,1,700,100,1,,,,,,,,,,,,,"Yes",10,800,,1,"Yes","Yes",,,"Yes",700,"Sazzy Pvt Ltd","Sazzy",,10,100,800,"Red",,"metal","self design"
"016C","Decord_LA_AS","configurable","Home Decor;; Home Decor/Decor;; Home Decor/Decor/Layarounds;; Home Decor/Decor/Layarounds/Holders;; Home Decor/Decor/Layarounds/Holders/Candles","Yes",800,"A self designed candle holder. Its design resembles ancient Indian work giving it a rich royal look.",,1,,,,,,,"Candle Holder",800,"Delhi",1,"A candle holder with self designed carvings giving it a royal look",,,,,,1,7,,,4,700,100,1,,,,,,,,,,"016C1,016C2","color",,"Yes",10,800,,1,"Yes","Yes",,,"Yes",700,"Sazzy Pvt Ltd","Sazzy",,10,100,800,,,"metal","self design"
