"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","is_in_stock","weight","qty","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","gender","acsa_design_style","acsa_material","acsa_type"
"027C1","StolesNShawls","simple","Accessories;; Accessories/Stoles","Yes",450,"A pure pashmina shawl red in colour. It's plain texture gives an actual feel and look of the fabric's beauty.",,,"shawl1.jpeg",,,,,,"Kashmiri Shawl",,,450,"Kashmir",,"A plain Kashmiri Pashmina shawl in bright red colour","shawl2.jpeg",,,,,1,6,,,,,1,1,40,100,,,,,,,,,,,,,,"Yes",10,450,,1,,"Yes",,,"Yes",40,"Rose Pvt Ltd","Khalid Wani",10,100,450,40,"Blue",,"women","hand weaving","Pashmina","Shawl"
"027C2","StolesNShawls","simple","Accessories;; Accessories/Stoles","Yes",450,"A pure pashmina shawl maroon in colour. It's plain texture gives an actual feel and look of the fabric's beauty.",,,"shawl3.jpeg",,,,,,"Kashmiri Shawl",,,450,"Kashmir",,"A plain Kashmiri Pashmina shawl in bright maroon colour","shawl4.jpeg",,,,,1,6,,,,,1,1,40,100,,,,,,,,,,,,,,"Yes",10,450,,1,,"Yes",,,"Yes",40,"Rose Pvt Ltd","Khalid Wani",10,100,450,40,"Red",,"women","hand weaving","Pashmina","Shawl"
"027C","StolesNShawls","configurable","Accessories;; Accessories/Stoles","Yes",450,"A pure pashmina shawl, it's plain texture gives an actual feel and look of the fabric's beauty.",,1,"no selection",,,,,,"Kashmiri Shawl",,,450,"Kashmir",1,"A plain Kashmiri Pashmina shawl in a bright colour","no selection",,,,,1,6,,,,,4,1,40,100,,,,,,,,,,"027C1,
027C2
","color",,,"Yes",10,450,,1,,"Yes",,,"Yes",40,"Rose Pvt Ltd","Khalid Wani",10,100,450,40,,,"women","hand weaving","Pashmina","Shawl"
"028C1","StolesNShawls","simple","Accessories;; Accessories/Stoles","Yes",200,"A blue stole which is made from pure Pashmina material by the skilled Kashmiri craftsmen. It's plain design lets the colour to stand out.",,,"stole1.jpeg",,,,,,"Kashmiri Stole",,,200,"Kashmir",,"A plain Kashmiri Pashmina stole in bright blue colour","stole2.jpeg",,,,,1,6,,,,,1,1,30,100,,,,,,,,,,,,,,"Yes",10,200,,1,,"Yes",,,"Yes",30,"Rose Pvt Ltd","Khalid Wani",10,100,200,30,"Red",,"women","hand weaving","Pashmina","Stole"
"028C2","StolesNShawls","simple","Accessories;; Accessories/Stoles","Yes",200,"A yellow stole which is made from pure Pashmina material by the skilled Kashmiri craftsmen. It's plain design lets the colour to stand out.",,,"stole2.jpeg",,,,,,"Kashmiri Stole",,,200,"Kashmir",,"A plain Kashmiri Pashmina stole in bright yellow colour","stole4.jpeg",,,,,1,6,,,,,1,1,30,100,,,,,,,,,,,,,,"Yes",10,200,,1,,"Yes",,,"Yes",30,"Rose Pvt Ltd","Khalid Wani",10,100,200,30,"Blue",,"women","hand weaving","Pashmina","Stole"
"006S","StolesNShawls","simple","Accessories;; Accessories/Stoles","Yes",450,"A hand woven Pashmina stole for men. It is made by skilled Kashmiri craftsmen. It has a checkered pattern on it.",,,"menstole1.jpeg",,,,,,"Kashmirir Stole",,,450,"Kashmir",,"A hand woven checkered Kashmiri Pashmina stole for men","menstole2,jpeg",,,,,1,6,,,,,4,1,40,100,,,,,,,,,,,,,,"Yes",10,450,,1,,"Yes",,,"Yes",40,"Rose Pvt Ltd","Khalid Wani",10,100,450,40,"Red",,"men","hand weaving","Pashmina","Stole"
"028C","StolesNShawls","configurable","Accessories;; Accessories/Stoles","Yes",200,"A stole which is made from pure Pashmina material by the skilled Kashmiri craftsmen. It's plain design lets the colour to stand out.",,1,"no selection",,,,,,"Kashmiri Stole",,,200,"Kashmir",1,"A plain Kashmiri Pashmina stole in a bright colour","no selection",,,,,1,6,,,,,4,1,30,100,,,,,,,,,,"028C1,
028C2","color",,,"Yes",10,200,,1,,"Yes",,,"Yes",30,"Rose Pvt Ltd","Khalid Wani",10,100,200,30,,,"women","hand weaving","Pashmina","Stole"
